Stazione,Data,Dato pluviometrico giornaliero 0-24
Pomezia ,01/12/2019,0
Pomezia ,02/12/2019,16,4
Pomezia ,03/12/2019,0,4
Pomezia ,04/12/2019,0
Pomezia ,05/12/2019,0
Pomezia ,06/12/2019,0,4
Pomezia ,07/12/2019,1,2
Pomezia ,08/12/2019,0,4
Pomezia ,09/12/2019,2,4
Pomezia ,10/12/2019,0
Pomezia ,11/12/2019,0
Pomezia ,12/12/2019,2,4
Pomezia ,13/12/2019,18,7
Pomezia ,14/12/2019,0
Pomezia ,15/12/2019,0
Pomezia ,16/12/2019,0
Pomezia ,17/12/2019,0
Pomezia ,18/12/2019,0
Pomezia ,19/12/2019,1,2
Pomezia ,20/12/2019,1,8
Pomezia ,21/12/2019,14,6
Pomezia ,22/12/2019,13,9
Pomezia ,23/12/2019,9,2
Pomezia ,24/12/2019,0
Pomezia ,25/12/2019,0
Pomezia ,26/12/2019,0
Pomezia ,27/12/2019,0
Pomezia ,28/12/2019,0
Pomezia ,29/12/2019,0
Pomezia ,30/12/2019,0
Pomezia ,31/12/2019,0
